date,Total_Daily_PnL,Total_Daily_Volume,Net_Trade_Flow,Trade_Count,Classification,Sentiment_Score
2023-05-01,0.0,477.0,-477.0,3,Greed,1
2023-12-05,0.0,50005.83,-50005.83,9,Greed,1
2023-12-14,-205.43473700000007,113203.35,-113203.35,11,Greed,1
2023-12-15,-24.632033999999997,10609.95,-10609.95,2,Greed,1
2023-12-16,0.0,15348.77,-15348.77,3,Greed,1
2023-12-17,304.982785,116278.02,-116278.02,14,Greed,1
2023-12-18,0.0,31164.179999999997,-31164.179999999997,2,Greed,1
2023-12-19,1000.5386120000001,91602.41,-91602.41,15,Greed,1
2023-12-20,162.732282,141636.79,-141636.79,18,Greed,1
2023-12-21,537.211402,125233.97,-125233.97,49,Greed,1
2023-12-22,141.832675,88874.28,-88874.28,10,Greed,1
2023-12-23,146.936704,78438.25,-78438.25,13,Greed,1
2023-12-24,1008.619956,402954.94,-402954.94,39,Greed,1
2023-12-25,-245.081348,59948.51,-59948.51,3,Greed,1
2023-12-27,-704.8892269999999,171411.06,-171411.06,28,Greed,1
2023-12-28,-970.730876,100117.25,-100117.25,23,Greed,1
2023-12-29,508.92214299999995,569559.72,-569559.72,50,Greed,1
2023-12-30,354.998648,702550.21,-702550.21,52,Greed,1
2024-01-01,-129.53146,264239.52999999997,-264239.52999999997,18,Greed,1
2024-01-02,783.979116,121348.74,-121348.74,17,Greed,1
2024-01-03,866.015507,394499.36,-394499.36,67,Greed,1
2024-01-04,-67.60364,99792.54000000001,-99792.54000000001,5,Greed,1
2024-01-05,164.141565,1703942.66,-1703942.66,66,Greed,1
2024-01-06,135.58166400000002,298521.4,-298521.4,22,Greed,1
2024-01-07,-835.681235,1048850.06,-1048850.06,97,Greed,1
2024-01-08,-269.874439,1522452.43,-1522452.43,128,Greed,1
2024-01-09,-826.349863,870051.97,-870051.97,70,Greed,1
2024-01-10,-1517.091342,2057479.48,-2057479.48,193,Greed,1
2024-01-11,-164.08950099999998,305314.1,-305314.1,21,Greed,1
2024-01-12,-1925.519024,200082.27,-200082.27,7,Greed,1
2024-01-16,-2299.171458,116427.33,-116427.33,9,Greed,1
2024-01-17,813.2741110000001,800831.03,-800831.03,53,Greed,1
2024-01-18,68.93319,424631.52999999997,-424631.52999999997,46,Greed,1
2024-01-21,266.58114600000005,103129.74,-103129.74,11,Greed,1
2024-01-22,1375.640959,337878.99,-337878.99,85,Greed,1
2024-01-29,486.562542,414208.18,-414208.18,74,Greed,1
2024-01-30,-173.65419100000003,401011.38,-401011.38,49,Greed,1
2024-01-31,-799.840817,6305647.13,-6305647.13,859,Greed,1
2024-02-01,0.0,2008.18,-2008.18,6,Greed,1
2024-02-02,456.423473,474278.43,-474278.43,42,Greed,1
2024-02-03,223.30918699999998,603820.0,-603820.0,56,Greed,1
2024-02-04,47.62389499999999,203187.53,-203187.53,35,Greed,1
2024-02-05,-33.45419400000003,770198.26,-770198.26,72,Greed,1
2024-02-06,-215.615907,8047153.41,-8047153.41,1088,Greed,1
2024-02-07,241.24212,6758.73,-6758.73,15,Greed,1
2024-02-08,770.756024,26051.12,-26051.12,10,Greed,1
2024-02-11,983.443176,212311.82,-212311.82,34,Greed,1
2024-02-12,913.8817869999998,227247.69999999998,-227247.69999999998,16,Greed,1
2024-02-13,559.44389,1999.99,-1999.99,14,Greed,1
2024-02-14,3830.599833,320839.88,-320839.88,111,Greed,1
2024-02-15,1840.797677,185188.04,-185188.04,63,Greed,1
2024-02-16,5491.768834,564896.51,-564896.51,182,Greed,1
2024-02-17,1929.6418,406118.07,-406118.07,94,Greed,1
2024-02-18,477.6248299999999,157048.17,-157048.17,97,Greed,1
2024-02-19,4317.768563,286377.2,-286377.2,101,Greed,1
2024-02-20,3263.628824,119419.72,-119419.72,39,Greed,1
2024-02-21,1858.7985700000002,108047.51999999999,-108047.51999999999,22,Greed,1
2024-02-22,3894.1050699999996,373033.87,-373033.87,88,Greed,1
2024-02-23,1418.55293,111106.14,-111106.14,143,Greed,1
2024-02-25,-30.7705,4480.13,-4480.13,5,Greed,1
2024-02-26,4416.8473,192187.14,-192187.14,39,Greed,1
2024-02-27,888.511733,209362.3,-209362.3,63,Greed,1
2024-02-28,2503.747235,171107.13,-171107.13,45,Greed,1
2024-02-29,9813.996992,395666.73,-395666.73,116,Greed,1
2024-03-01,8244.241409,472974.7,-472974.7,137,Greed,1
2024-03-02,230.90060000000005,63197.56,-63197.56,31,Greed,1
2024-03-03,8361.086245,390745.68,-390745.68,79,Greed,1
2024-03-04,27799.775742,1577996.87,-1577996.87,300,Greed,1
2024-03-05,19791.026041,841810.32,-841810.32,180,Greed,1
2024-03-06,6814.825139,327218.02,-327218.02,82,Greed,1
2024-03-08,4271.886236,183583.18,-183583.18,67,Greed,1
2024-03-09,9949.501624,658178.75,-658178.75,117,Greed,1
2024-03-10,2482.9272,219973.85,-219973.85,42,Greed,1
2024-03-11,3588.179495,176519.44999999998,-176519.44999999998,42,Greed,1
2024-03-12,3039.166,103040.85,-103040.85,8,Greed,1
2024-03-13,0.0,6000.799999999999,-6000.799999999999,7,Greed,1
2024-03-14,3465.865832,205933.18,-205933.18,18,Greed,1
2024-03-15,6236.513651,351894.41,-351894.41,62,Greed,1
2024-03-16,228.57984,37223.66,-37223.66,8,Greed,1
2024-03-17,503.293955,99506.95,-99506.95,23,Greed,1
2024-03-18,1456.9577,90458.08,-90458.08,19,Greed,1
2024-03-19,668.797973,219884.84,-219884.84,24,Greed,1
2024-03-20,6423.134599,215705.85,-215705.85,69,Greed,1
2024-03-21,2335.5080749999997,117895.57,-117895.57,28,Greed,1
2024-03-24,1297.018477,92592.20999999999,-92592.20999999999,19,Greed,1
2024-03-25,1302.916428,57116.32,-57116.32,7,Greed,1
2024-03-26,3215.906593,198565.19,-198565.19,118,Greed,1
2024-03-27,150.41114,99864.79,-99864.79,38,Greed,1
2024-03-28,227.85100799999998,35323.72,-35323.72,13,Greed,1
